text,label,prediction
The United Kingdom welcomed that agreement and the opportunity it offered for restoring stability in Ukraine .,<claim> The United Kingdom welcomed that agreement and the opportunity it offered for restoring stability in Ukraine . </claim>,<claim> The United Kingdom welcomed that agreement and the opportunity it offered for restoring stability in Ukraine . </claim>
"Based on the United Nations principle of collective self - defence , we have called on many countries and organizations for assistance .","<premise> Based on the United Nations principle of collective self - defence , we have called on many countries and organizations for assistance . </premise>","<premise> Based on the United Nations principle of collective self - defence , we have called on many countries and organizations for assistance . </premise>"
"Nonetheless , the crisis in eastern Ukraine is not merely a matter of public order but a political issue that must be resolved through genuine dialogue with all Ukrainian parties , with a view to ensuring sustainable peace and equal rights for all , including the Russian - speaking minority .","<claim> Nonetheless , the crisis in eastern Ukraine is not merely a matter of public order but a political issue that must be resolved through genuine dialogue with all Ukrainian parties , with a view to ensuring sustainable peace and equal rights for all , including the Russian - speaking minority . </claim>","Nonetheless, <claim> the crisis in eastern Ukraine is not merely a matter of public order but a political issue that must be resolved through genuine dialogue with all Ukrainian parties , with a view to ensuring sustainable peace and equal rights for all , including the Russian - speaking minority . </claim>"
It has been claimed that Ukraine is building up its military presence and resorting to militarization .,<premise> It has been claimed that Ukraine is building up its military presence and resorting to militarization . </premise>,<premise> It has been claimed that Ukraine is building up its military presence and resorting to militarization . </premise>
We hae to let it work .,<claim> We hae to let it work . </claim>,<claim> We hae to let it work . </claim>
"Had the separatists respected and carried out the Geneva statement , had they not taken up arms against their own State in the first place , none of that would be happening .","<premise> Had the separatists respected and carried out the Geneva statement , had they not taken up arms against their own State in the first place , </premise> none of that would be happening.","<premise> Had the separatists respected and carried out the Geneva statement , had they not taken up arms against their own State in the first place , none of that would be happening . </premise>"
"Just today , pro - Russian separatists armed with baseball bats , stormed the Government buildings in Luhansk , seizing control of the centre of municipal activity in one of the largest cities in eastern Ukraine .","<premise> Just today , pro - Russian separatists armed with baseball bats , stormed the Government buildings in Luhansk , seizing control of the centre of municipal activity in one of the largest cities in eastern Ukraine . </premise>","<premise> Just today , pro - Russian separatists armed with baseball bats , stormed the Government buildings in Luhansk , seizing control of the centre of municipal activity in one of the largest cities in eastern Ukraine . </premise>"
That is completely unacceptable .,<claim> That is completely unacceptable . </claim>,<claim> That is completely unacceptable . </claim>
"In sum , all of the problems that the United Nations , and the Security Council in particular , were created to address , are frozen .","<claim> In sum , all of the problems that the United Nations , and the Security Council in particular , were created to address , are frozen . </claim>","In sum, <claim> all of the problems that the United Nations , and the Security Council in particular , were created to address , are frozen . </claim>"
"We take a generally positive view of cooperation between the United Nations and the OSCE in the field , for example , through the OSCE Mission in Kosovo .","<claim> We take a generally positive view of cooperation between the United Nations and the OSCE in the field , for example , through the OSCE Mission in Kosovo . </claim>","<claim> We take a generally positive view of cooperation between the United Nations and the OSCE in the field , for example , through the OSCE Mission in Kosovo . </claim>"
The country has become a threat to international peace and security .,<claim> The country has become a threat to international peace and security </claim> .,<claim> The country has become a threat to international peace and security . </claim>
"After numerous calls for the de - escalation of the crisis , the situation has become more complex for the diverse Ukrainian community .","<premise> After numerous calls for the de - escalation of the crisis , the situation has become more complex for the diverse Ukrainian community . </premise>","<premise> After numerous calls for the de - escalation of the crisis , </premise> the situation has become more complex for the diverse Ukrainian community."
So much for Russia 's claims that it is not a party to this conflict .,<premise> So much for Russia 's claims that it is not a party to this conflict . </premise>,<premise> So much for Russia 's claims that it is not a party to this conflict . </premise>
Any attempt by the parties to resume the fighting flouts international efforts aimed at reaching a lasting and peaceful solution to the conflict .,<premise> Any attempt by the parties to resume the fighting flouts international efforts aimed at reaching a lasting and peaceful solution to the conflict . </premise>,<premise> Any attempt by the parties to resume the fighting flouts international efforts aimed at reaching a lasting and peaceful solution to the conflict . </premise>
In Donbas they were attacked with bullets and shells .,<premise> In Donbas they were attacked with bullets and shells . </premise>,<premise> In Donbas they were attacked with bullets and shells . </premise>
"Moscow must make clear to the militant authorities that that effort will hinder the peace process and that the results of that illegal vote , organized in violation of Ukrainian legislation , will never be recognized .","<claim> Moscow must make clear to the militant authorities that that effort will hinder the peace process and that the results of that illegal vote , organized in violation of Ukrainian legislation , will never be recognized . </claim>","<claim> Moscow must make clear to the militant authorities that that effort will hinder the peace process and that the results of that illegal vote , organized in violation of Ukrainian legislation , will never be recognized . </claim>"
"Such elections would be illegal , would contravene the Minsk agreements , and would present a significant obstacle to a lasting peace in Ukraine .","Such elections would be illegal, <premise> would contravene the Minsk agreements </premise> , and would present a significant obstacle to a lasting peace in Ukraine.","<premise> Such elections would be illegal , would contravene the Minsk agreements , and would present a significant obstacle to a lasting peace in Ukraine . </premise>"
"Yet , rather than observe the ceasefire , the separatists have taken advantage of the agreed - upon pause in the fighting to try and expand their territory beyond Minsk lines .","Yet, rather than observe the ceasefire, <claim> the separatists have taken advantage of the agreed - upon pause in the fighting to try and expand their territory beyond Minsk lines . </claim>","<premise> Yet , rather than observe the ceasefire , the separatists have taken advantage of the agreed - upon pause in the fighting to try and expand their territory beyond Minsk lines . </premise>"
"Nearby , three bodies were recently pulled from a river , each showing unmistakable signs of physical abuse ; one has been identified as a local politician , another as a 19 year - old pro - unity student activist .","<premise> Nearby , three bodies were recently pulled from a river , each showing unmistakable signs of physical abuse ; one has been identified as a local politician , another as a 19 year - old pro - unity student activist . </premise>","<premise> Nearby , three bodies were recently pulled from a river , each showing unmistakable signs of physical abuse </premise> ; one has been identified as a local politician, another as a 19 year - old pro - unity student activist."
Let us not forget that such protests were a prelude to the annexation of Crimea .,<claim> Let us not forget that such protests were a prelude to the annexation of Crimea . </claim>,<premise> Let us not forget that such protests were a prelude to the annexation of Crimea . </premise>
The Ukrainian film director Oleg Sentsov is also being illegally held captive .,<premise> The Ukrainian film director Oleg Sentsov is also being illegally held captive . </premise>,<premise> The Ukrainian film director Oleg Sentsov is also being illegally held captive . </premise>
The work being done there is vital to the beleaguered residents of Marinka and to all Ukrainians in the eastern part of the country .,<claim> The work being done there is vital to the beleaguered residents of Marinka and to all Ukrainians in the eastern part of the country . </claim>,<premise> The work being done there is vital to the beleaguered residents of Marinka and to all Ukrainians in the eastern part of the country . </premise>
Russia has chosen not to uphold its commitments and pursue this path to restoring stability .,<claim> Russia has chosen not to uphold its commitments and pursue this path to restoring stability . </claim>,<claim> Russia has chosen not to uphold its commitments and pursue this path to restoring stability . </claim>
